Student_ID,Gender,Status,Course_Subject_Name,Grade,GWA,Semester,College,Year
61CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,1.83,1sem,CCST,2024-2025
465CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.33,1sem,CCST,2024-2025
222CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,2.08,1sem,CCST,2024-2025
984CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.33,1sem,CCST,2024-2025
707CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.0,1sem,CCST,2024-2025
178CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,1.92,1sem,CCST,2024-2025
177CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.5,1sem,CCST,2024-2025
676CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.17,1sem,CCST,2024-2025
978CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.58,1sem,CCST,2024-2025
976CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.75,1sem,CCST,2024-2025
13CCSTY320242025,1,REGULAR,Exploratory Data Analysis,1.0,1.92,1sem,CCST,2024-2025
265CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,2.25,1sem,CCST,2024-2025
278CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,2.25,1sem,CCST,2024-2025
96CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.08,1sem,CCST,2024-2025
286CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,2.17,1sem,CCST,2024-2025
568CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.75,1sem,CCST,2024-2025
1022CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,0.0,1sem,CCST,2024-2025
1009CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,1.75,1sem,CCST,2024-2025
977CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,1.25,1sem,CCST,2024-2025
769CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.75,1sem,CCST,2024-2025
286CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,2.17,1sem,CCST,2024-2025
591CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.67,1sem,CCST,2024-2025
898CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.75,1sem,CCST,2024-2025
906CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,2.67,1sem,CCST,2024-2025
203CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.42,1sem,CCST,2024-2025
287CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,1.5,1sem,CCST,2024-2025
893CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,2.08,1sem,CCST,2024-2025
282CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,1.92,1sem,CCST,2024-2025
42CCSTY320242025,0,REGULAR,Exploratory Data Analysis,1.0,2.17,1sem,CCST,2024-2025
647CCSTY320242025,0,REGULAR,Business Intellligence,1.0,2.08,1sem,CCST,2024-2025
67CCSTY320242025,1,REGULAR,Exploratory Data Analysis,1.0,2.08,1sem,CCST,2024-2025
886CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.92,1sem,CCST,2024-2025
885CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.92,1sem,CCST,2024-2025
194CCSTY320242025,1,REGULAR,Exploratory Data Analysis,1.0,1.92,1sem,CCST,2024-2025
1038CCSTY320242025,1,REGULAR,Business Intellligence,1.0,0.0,1sem,CCST,2024-2025
132CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.83,1sem,CCST,2024-2025
469CCSTY320242025,0,REGULAR,Computational Statistics,1.0,1.5,1sem,CCST,2024-2025
201CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.25,1sem,CCST,2024-2025
878CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,2.08,1sem,CCST,2024-2025
18CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,1.92,1sem,CCST,2024-2025
156CCSTY320242025,0,REGULAR,Exploratory Data Analysis,1.0,2.17,1sem,CCST,2024-2025
496CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.75,1sem,CCST,2024-2025
977CCSTY320242025,0,REGULAR,Computational Statistics,1.0,1.25,1sem,CCST,2024-2025
676CCSTY320242025,1,REGULAR,Exploratory Data Analysis,1.0,2.17,1sem,CCST,2024-2025
410CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.42,1sem,CCST,2024-2025
99CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,2.25,1sem,CCST,2024-2025
712CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,1.75,1sem,CCST,2024-2025
130CCSTY320242025,1,REGULAR,Exploratory Data Analysis,1.0,1.83,1sem,CCST,2024-2025
231CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,2.0,1sem,CCST,2024-2025
499CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.58,1sem,CCST,2024-2025
46CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.17,1sem,CCST,2024-2025
1012CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.67,1sem,CCST,2024-2025
839CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.58,1sem,CCST,2024-2025
743CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,2.08,1sem,CCST,2024-2025
432CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.08,1sem,CCST,2024-2025
481CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.42,1sem,CCST,2024-2025
80CCSTY320242025,0,REGULAR,Exploratory Data Analysis,1.0,2.42,1sem,CCST,2024-2025
255CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.33,1sem,CCST,2024-2025
221CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.42,1sem,CCST,2024-2025
858CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,1.83,1sem,CCST,2024-2025
178CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,1.92,1sem,CCST,2024-2025
319CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,1.83,1sem,CCST,2024-2025
475CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,1.83,1sem,CCST,2024-2025
486CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,2.33,1sem,CCST,2024-2025
771CCSTY320242025,0,REGULAR,Computational Statistics,1.0,1.75,1sem,CCST,2024-2025
494CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,2.08,1sem,CCST,2024-2025
511CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,2.42,1sem,CCST,2024-2025
350CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.5,1sem,CCST,2024-2025
329CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,1.92,1sem,CCST,2024-2025
492CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,1.67,1sem,CCST,2024-2025
343CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.33,1sem,CCST,2024-2025
409CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,1.83,1sem,CCST,2024-2025
285CCSTY320242025,1,REGULAR,Business Intellligence,1.0,2.08,1sem,CCST,2024-2025
536CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,2.75,1sem,CCST,2024-2025
624CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.83,1sem,CCST,2024-2025
291CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.5,1sem,CCST,2024-2025
465CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,1.33,1sem,CCST,2024-2025
331CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.92,1sem,CCST,2024-2025
364CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,2.08,1sem,CCST,2024-2025
523CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,2.08,1sem,CCST,2024-2025
400CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,1.75,1sem,CCST,2024-2025
521CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,2.17,1sem,CCST,2024-2025
407CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,1.92,1sem,CCST,2024-2025
804CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.83,1sem,CCST,2024-2025
315CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.83,1sem,CCST,2024-2025
581CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.92,1sem,CCST,2024-2025
426CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.42,1sem,CCST,2024-2025
449CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,1.67,1sem,CCST,2024-2025
812CCSTY320242025,0,REGULAR,Computational Statistics,1.0,2.25,1sem,CCST,2024-2025
473CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.83,1sem,CCST,2024-2025
898CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,1.75,1sem,CCST,2024-2025
471CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.75,1sem,CCST,2024-2025
389CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,2.33,1sem,CCST,2024-2025
887CCSTY320242025,0,REGULAR,Computational Statistics,1.0,1.58,1sem,CCST,2024-2025
344CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,2.0,1sem,CCST,2024-2025
677CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.75,1sem,CCST,2024-2025
770CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,1.92,1sem,CCST,2024-2025
361CCSTY320242025,0,REGULAR,Design and Analysis of Algorithm,1.0,1.67,1sem,CCST,2024-2025
362CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,2.0,1sem,CCST,2024-2025
571CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.42,1sem,CCST,2024-2025
230CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.92,1sem,CCST,2024-2025
569CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,2.0,1sem,CCST,2024-2025
712CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,1.75,1sem,CCST,2024-2025
234CCSTY320242025,0,REGULAR,Business Intellligence,1.0,2.0,1sem,CCST,2024-2025
867CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.75,1sem,CCST,2024-2025
714CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.83,1sem,CCST,2024-2025
566CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,1.58,1sem,CCST,2024-2025
713CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.67,1sem,CCST,2024-2025
728CCSTY320242025,1,REGULAR,Computational Statistics,1.0,1.42,1sem,CCST,2024-2025
539CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.25,1sem,CCST,2024-2025
239CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.08,1sem,CCST,2024-2025
354CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.58,1sem,CCST,2024-2025
384CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,1.83,1sem,CCST,2024-2025
676CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,2.17,1sem,CCST,2024-2025
673CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.83,1sem,CCST,2024-2025
544CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.0,1sem,CCST,2024-2025
543CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.08,1sem,CCST,2024-2025
728CCSTY320242025,1,REGULAR,Business Intellligence,1.0,1.42,1sem,CCST,2024-2025
495CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,1.83,1sem,CCST,2024-2025
538CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.17,1sem,CCST,2024-2025
659CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.83,1sem,CCST,2024-2025
123CCSTY320242025,0,REGULAR,Business Intellligence,1.0,1.42,1sem,CCST,2024-2025
302CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.67,1sem,CCST,2024-2025
453CCSTY320242025,0,REGULAR,Computational Statistics,1.0,1.58,1sem,CCST,2024-2025
977CCSTY320242025,0,REGULAR,Object Oriented Programmming,1.0,1.25,1sem,CCST,2024-2025
849CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.33,1sem,CCST,2024-2025
748CCSTY320242025,1,REGULAR,Exploratory Data Analysis,1.0,2.17,1sem,CCST,2024-2025
11CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.58,1sem,CCST,2024-2025
147CCSTY320242025,1,REGULAR,Software Engineering 1,1.0,1.5,1sem,CCST,2024-2025
97CCSTY320242025,0,REGULAR,Computational Statistics,1.0,1.75,1sem,CCST,2024-2025
8CCSTY320242025,1,REGULAR,Design and Analysis of Algorithm,1.0,2.0,1sem,CCST,2024-2025
864CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,1.92,1sem,CCST,2024-2025
781CCSTY320242025,1,REGULAR,Data Management and Warehousing,1.0,2.08,1sem,CCST,2024-2025
418CCSTY320242025,0,REGULAR,Exploratory Data Analysis,1.0,1.75,1sem,CCST,2024-2025
869CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,2.58,1sem,CCST,2024-2025
136CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.58,1sem,CCST,2024-2025
830CCSTY320242025,0,REGULAR,Data Management and Warehousing,1.0,1.92,1sem,CCST,2024-2025
948CCSTY320242025,1,REGULAR,Object Oriented Programmming,1.0,2.42,1sem,CCST,2024-2025
717CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.58,1sem,CCST,2024-2025
364CCSTY320242025,0,REGULAR,Exploratory Data Analysis,1.0,2.08,1sem,CCST,2024-2025
711CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,2.0,1sem,CCST,2024-2025
869CCSTY320242025,0,REGULAR,Software Engineering 1,1.0,2.58,1sem,CCST,2024-2025
896CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.33,1sem,CCST,2024-2025
140CCSTY320242025,1,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.33,1sem,CCST,2024-2025
378CCSTY320242025,0,REGULAR,Exploratory Data Analysis,1.0,2.17,1sem,CCST,2024-2025
16CCSTY320242025,0,REGULAR,Data Ethics and Governance (DS Elective 1),1.0,1.42,1sem,CCST,2024-2025
