Student_ID,Gender,Status,Course_Subject_Name,Grade,GWA,Semester,College,Year
554CCSTY220232024,1.0,REGULAR,Promoting Global Peace Education,1.0,2.06,1sem,CCST,2023-2024
541CCSTY220232024,0.0,REGULAR,Introduction to Statistics,1.0,1.78,1sem,CCST,2023-2024
884CCSTY220232024,1.0,REGULAR,"Science, Technology, and Society",1.0,2.06,1sem,CCST,2023-2024
620CCSTY220232024,1.0,REGULAR,Introduction to Statistics,1.0,1.94,1sem,CCST,2023-2024
806CCSTY220232024,0.0,REGULAR,Programming for Data Science,1.0,2.03,1sem,CCST,2023-2024
703CCSTY220232024,1.0,REGULAR,Contempory World,1.0,1.92,1sem,CCST,2023-2024
923CCSTY220232024,0.0,REGULAR,Data Structure and Algorithm,1.0,2.17,1sem,CCST,2023-2024
569CCSTY220232024,1.0,REGULAR,Data Structure and Algorithm,1.0,1.89,1sem,CCST,2023-2024
407CCSTY220232024,0.0,REGULAR,Data Structure and Algorithm,1.0,2.08,1sem,CCST,2023-2024
460CCSTY220232024,0.0,REGULAR,Linear Algebra For Data Science,1.0,2.0,1sem,CCST,2023-2024
404CCSTY220232024,0.0,REGULAR,Ethics,1.0,1.92,1sem,CCST,2023-2024
31CCSTY220232024,0.0,REGULAR,Data Structure and Algorithm,1.0,1.61,1sem,CCST,2023-2024
401CCSTY220232024,0.0,REGULAR,Ethics,1.0,1.94,1sem,CCST,2023-2024
290CCSTY220232024,1.0,REGULAR,Promoting Global Peace Education,1.0,1.97,1sem,CCST,2023-2024
786CCSTY220232024,1.0,REGULAR,Programming for Data Science,1.0,1.94,1sem,CCST,2023-2024
307CCSTY220232024,1.0,REGULAR,Data Structure and Algorithm,1.0,1.86,1sem,CCST,2023-2024
171CCSTY220232024,0.0,REGULAR,Introduction to Statistics,1.0,1.92,1sem,CCST,2023-2024
536CCSTY220232024,0.0,REGULAR,Introduction to Statistics,1.0,1.86,1sem,CCST,2023-2024
494CCSTY220232024,0.0,REGULAR,Introduction to Statistics,1.0,1.83,1sem,CCST,2023-2024
993CCSTY220232024,1.0,REGULAR,Promoting Global Peace Education,1.0,1.64,1sem,CCST,2023-2024
313CCSTY220232024,0.0,REGULAR,Data Structure and Algorithm,1.0,1.78,1sem,CCST,2023-2024
580CCSTY220232024,0.0,REGULAR,Data Structure and Algorithm,1.0,1.81,1sem,CCST,2023-2024
278CCSTY220232024,0.0,REGULAR,"Science, Technology, and Society",1.0,2.06,1sem,CCST,2023-2024
801CCSTY220232024,1.0,REGULAR,Promoting Global Peace Education,1.0,2.0,1sem,CCST,2023-2024
828CCSTY220232024,1.0,REGULAR,Programming for Data Science,1.0,1.75,1sem,CCST,2023-2024
123CCSTY220232024,0.0,REGULAR,Introduction to Statistics,1.0,1.78,1sem,CCST,2023-2024
949CCSTY220232024,0.0,REGULAR,Data Structure and Algorithm,1.0,1.86,1sem,CCST,2023-2024
735CCSTY220232024,0.0,REGULAR,Introduction to Statistics,1.0,1.97,1sem,CCST,2023-2024
