Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Perf_Band,Count,Total,Pct
2023.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Below Average,2,159,1.26
2023.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Excellent,13,159,8.18
2023.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Failing,1,159,0.63
2023.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Good,74,159,46.54
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Average,75,146,51.37
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Below Average,16,146,10.96
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Excellent,1,146,0.68
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Failing,9,146,6.16
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Good,45,146,30.82
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Average,38,137,27.74
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Below Average,7,137,5.11
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Excellent,1,137,0.73
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Failing,9,137,6.57
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Good,82,137,59.85
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Average,3,33,9.09
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Below Average,1,33,3.03
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Excellent,3,33,9.09
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Failing,3,33,9.09
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Good,23,33,69.7
2022.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Average,2,30,6.67
2022.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Below Average,1,30,3.33
2022.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Excellent,3,30,10.0
2022.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Good,24,30,80.0
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Average,8,44,18.18
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Below Average,5,44,11.36
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Excellent,1,44,2.27
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Failing,1,44,2.27
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Good,29,44,65.91
2023.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Average,10,40,25.0
2023.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Below Average,2,40,5.0
2023.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Excellent,5,40,12.5
2023.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Good,23,40,57.5
2024.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Average,51,124,41.13
2024.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Below Average,11,124,8.87
2024.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Failing,1,124,0.81
2024.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Good,61,124,49.19
2024.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Average,45,117,38.46
2024.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Below Average,1,117,0.85
2024.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Excellent,1,117,0.85
2024.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,Good,70,117,59.83
2022.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Average,1,26,3.85
2022.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Excellent,7,26,26.92
2022.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Failing,1,26,3.85
2022.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Good,17,26,65.38
2022.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Average,1,24,4.17
2022.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Excellent,21,24,87.5
2022.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Good,2,24,8.33
2023.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Average,3,33,9.09
2023.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Excellent,8,33,24.24
2023.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Failing,1,33,3.03
2023.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Good,21,33,63.64
2023.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Average,3,29,10.34
2023.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Excellent,14,29,48.28
2023.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Failing,1,29,3.45
2023.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Good,11,29,37.93
2024.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Average,5,34,14.71
2024.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Below Average,5,34,14.71
2024.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Failing,1,34,2.94
2024.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,Good,23,34,67.65
2024.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Average,7,33,21.21
2024.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Excellent,7,33,21.21
2024.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Failing,1,33,3.03
2024.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,Good,18,33,54.55
2022.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Average,1,4,25.0
2022.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Below Average,3,4,75.0
2022.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Average,1,4,25.0
2022.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Failing,1,4,25.0
2022.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Good,2,4,50.0
2023.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Average,1,4,25.0
2023.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Below Average,1,4,25.0
2023.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Good,2,4,50.0
2023.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Average,2,5,40.0
2023.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Below Average,1,5,20.0
2023.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Good,2,5,40.0
2024.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Average,3,10,30.0
2024.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Excellent,2,10,20.0
2024.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,Good,5,10,50.0
2024.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Excellent,4,11,36.36
2024.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,Good,7,11,63.64
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Average,22,289,7.61
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Below Average,5,289,1.73
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Excellent,44,289,15.22
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Failing,5,289,1.73
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Good,213,289,73.7
2022.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Average,7,289,2.42
2022.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Below Average,1,289,0.35
2022.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Excellent,121,289,41.87
2022.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Failing,2,289,0.69
2022.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Good,158,289,54.67
2023.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Average,15,358,4.19
2023.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Excellent,121,358,33.8
2023.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Failing,7,358,1.96
2023.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Good,215,358,60.06
2023.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Average,3,348,0.86
2023.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Excellent,238,348,68.39
2023.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Failing,4,348,1.15
2023.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Good,103,348,29.6
2024.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Average,3,141,2.13
2024.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Excellent,110,141,78.01
2024.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Failing,1,141,0.71
2024.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,Good,27,141,19.15
2024.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Average,2,138,1.45
2024.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Below Average,1,138,0.72
2024.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Excellent,123,138,89.13
2024.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,Good,12,138,8.7
2022.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Average,27,149,18.12
2022.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Below Average,1,149,0.67
2022.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Excellent,14,149,9.4
2022.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Failing,1,149,0.67
2022.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Good,106,149,71.14
2022.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Average,5,146,3.42
2022.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Excellent,77,146,52.74
2022.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Good,64,146,43.84
2023.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Average,46,278,16.55
2023.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Below Average,7,278,2.52
2023.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Excellent,14,278,5.04
2023.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Good,211,278,75.9
2023.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Average,4,275,1.45
2023.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Below Average,1,275,0.36
2023.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Excellent,141,275,51.27
2023.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Failing,1,275,0.36
2023.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Good,128,275,46.55
2024.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Average,38,342,11.11
2024.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Excellent,39,342,11.4
2024.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Failing,2,342,0.58
2024.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,Good,263,342,76.9
2024.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Average,17,339,5.01
2024.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Below Average,4,339,1.18
2024.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Excellent,125,339,36.87
2024.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Failing,4,339,1.18
2024.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,Good,189,339,55.75
2022.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Average,41,127,32.28
2022.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Below Average,2,127,1.57
2022.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Excellent,5,127,3.94
2022.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Failing,1,127,0.79
2022.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Good,78,127,61.42
2022.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Average,13,129,10.08
2022.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Below Average,2,129,1.55
2022.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Excellent,28,129,21.71
2022.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Good,86,129,66.67
2023.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Average,16,146,10.96
2023.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Below Average,1,146,0.68
2023.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Excellent,39,146,26.71
2023.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Good,90,146,61.64
2023.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Average,2,146,1.37
2023.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Below Average,1,146,0.68
2023.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Excellent,45,146,30.82
2023.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Good,98,146,67.12
2024.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Average,4,265,1.51
2024.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Below Average,2,265,0.75
2024.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Excellent,76,265,28.68
2024.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,Good,183,265,69.06
2024.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Average,5,262,1.91
2024.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Excellent,53,262,20.23
2024.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Failing,2,262,0.76
2024.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,Good,202,262,77.1
2022.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Average,49,95,51.58
2022.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Below Average,21,95,22.11
2022.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Excellent,1,95,1.05
2022.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Failing,1,95,1.05
2022.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Good,23,95,24.21
2022.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Average,4,96,4.17
2022.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Excellent,41,96,42.71
2022.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Good,51,96,53.12
2023.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Average,29,132,21.97
2023.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Excellent,8,132,6.06
2023.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Good,95,132,71.97
2023.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Average,4,133,3.01
2023.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Excellent,54,133,40.6
2023.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Good,75,133,56.39
2024.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Average,12,141,8.51
2024.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Excellent,38,141,26.95
2024.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,Good,91,141,64.54
2024.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Average,6,141,4.26
2024.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Excellent,48,141,34.04
2024.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,Good,87,141,61.7
2023.0,1,CAHS,Bachelor of Science in Public Health,Irregular,-1,Excellent,1,1,100.0
2023.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Average,1,96,1.04
2023.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Below Average,1,96,1.04
2023.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Excellent,69,96,71.88
2023.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Failing,2,96,2.08
2023.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Good,23,96,23.96
2023.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Average,5,91,5.49
2023.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Below Average,1,91,1.1
2023.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Excellent,27,91,29.67
2023.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Failing,2,91,2.2
2023.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Good,56,91,61.54
2024.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Average,1,118,0.85
2024.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Below Average,1,118,0.85
2024.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Excellent,64,118,54.24
2024.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Failing,3,118,2.54
2024.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,Good,49,118,41.53
2024.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Average,3,115,2.61
2024.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Below Average,1,115,0.87
2024.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Excellent,21,115,18.26
2024.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Failing,1,115,0.87
2024.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,Good,89,115,77.39
2024.0,1,CAHS,Bachelor of Science in Public Health,2nd Year,2,Average,10,89,11.24
2024.0,1,CAHS,Bachelor of Science in Public Health,2nd Year,2,Excellent,17,89,19.1
2024.0,1,CAHS,Bachelor of Science in Public Health,2nd Year,2,Good,62,89,69.66
2024.0,2,CAHS,Bachelor of Science in Public Health,2nd Year,2,Average,22,88,25.0
2024.0,2,CAHS,Bachelor of Science in Public Health,2nd Year,2,Below Average,2,88,2.27
2024.0,2,CAHS,Bachelor of Science in Public Health,2nd Year,2,Excellent,6,88,6.82
2024.0,2,CAHS,Bachelor of Science in Public Health,2nd Year,2,Good,58,88,65.91
2022.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Average,6,20,30.0
2022.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Below Average,1,20,5.0
2022.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Excellent,6,20,30.0
2022.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Failing,4,20,20.0
2022.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Good,3,20,15.0
2022.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Below Average,2,16,12.5
2022.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Excellent,6,16,37.5
2022.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Failing,1,16,6.25
2022.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Good,7,16,43.75
2023.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Average,2,23,8.7
2023.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Below Average,2,23,8.7
2023.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Excellent,6,23,26.09
2023.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Failing,2,23,8.7
2023.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Good,11,23,47.83
2023.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Average,2,21,9.52
2023.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Below Average,1,21,4.76
2023.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Excellent,10,21,47.62
2023.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Failing,3,21,14.29
