Student_ID,College,Course,Semester,Sem_Numeric,Year_Numeric,GWA,fail_rate,is_drop
101_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,CBA,Bachelor of Science in Tourism Management,1sem,1,2022.0,1.47,0.0,0
101_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,CCST,Bachelor of Science in Computer Science,1sem,1,2022.0,1.34,0.0,0
101_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,1,2022.0,2.02,0.1818181818181818,0
101_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,CCST,Bachelor of Science in Information Technology,1sem,1,2022.0,1.25,0.0,0
101_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,CEA,Bachelor of Science in Architecture,1sem,1,2022.0,1.45,0.0,0
101_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,1sem,1,2022.0,2.75,0.2857142857142857,0
101_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,1sem,1,2022.0,2.22,0.375,0
101_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,1sem,1,2022.0,2.25,0.0909090909090909,0
101_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,1sem,1,2022.0,1.72,0.0,0
101_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,1sem,1,2022.0,2.17,0.0,0
101_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,COAS,Bachelor of Arts in Communication,1sem,1,2022.0,1.56,0.0,0
101_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.17,0.1,0
101_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,1,2022.0,1.75,0.0,0
1020_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.25,0.0,0
1021_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.25,0.0,0
1022_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.5,0.0,0
1023_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,3.83,0.5714285714285714,1
1024_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.38,0.0,0
1025_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.33,0.1,0
1026_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.25,0.0,0
1027_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.0,0.0,0
1028_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.88,0.0,0
1029_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.9,0.0,0
102_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,CAHS,Bachelor of Science in Midwifery,1sem,1,2022.0,1.72,0.0,0
102_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,CAHS,Bachelor of Science in Nursing,1sem,1,2022.0,1.9,0.0,0
102_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,1sem,1,2022.0,1.75,0.0,0
102_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,CBA,Bachelor of Science in Tourism Management,1sem,1,2022.0,1.82,0.0,0
102_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,CCST,Bachelor of Science in Computer Science,1sem,1,2022.0,1.82,0.0,0
102_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,1,2022.0,1.64,0.0,0
102_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,CCST,Bachelor of Science in Information Technology,1sem,1,2022.0,1.72,0.0,0
102_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,CEA,Bachelor of Science in Architecture,1sem,1,2022.0,1.85,0.0,0
102_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,1sem,1,2022.0,2.79,0.4285714285714285,0
102_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,1sem,1,2022.0,1.86,0.1111111111111111,0
102_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,1sem,1,2022.0,1.47,0.0,0
102_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,1sem,1,2022.0,2.1,0.2,0
102_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,1sem,1,2022.0,1.28,0.0,0
102_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,COAS,Bachelor of Arts in Communication,1sem,1,2022.0,1.64,0.0,0
102_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.75,0.0,0
102_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,1,2022.0,1.68,0.0,0
1030_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.25,0.0,0
1031_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.06,0.0,0
1032_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.28,0.125,0
1033_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.5,0.0,0
1034_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,2.22,0.0,0
1035_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.72,0.0,0
103_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,CAHS,Bachelor of Science in Midwifery,1sem,1,2022.0,2.62,0.3,0
103_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,CAHS,Bachelor of Science in Nursing,1sem,1,2022.0,1.8,0.0,0
103_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,1sem,1,2022.0,1.3,0.0,0
103_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,CBA,Bachelor of Science in Tourism Management,1sem,1,2022.0,1.71,0.0,0
103_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,CCST,Bachelor of Science in Computer Science,1sem,1,2022.0,2.0,0.1428571428571428,0
103_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,1,2022.0,1.81,0.0,0
103_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,CCST,Bachelor of Science in Information Technology,1sem,1,2022.0,1.79,0.0,0
