Year_Numeric,College,Course,Subject,Avg_Grade,Std_Grade,Student_Cnt,Fail_Count,Fail_Rate
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,ICTC1513,2.59,1.17,36,8,22.22
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,ICTC1711,1.35,0.39,52,0,0.0
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,NGEC0203,2.29,1.08,110,27,24.55
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,NGEC0403,2.29,1.01,111,16,14.41
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,NGEC0513,2.72,1.27,77,18,23.38
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,NGEC0913,1.9,0.62,57,4,7.02
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,NSTP0113,2.06,0.89,112,8,7.14
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,PEDU0112,2.1,1.13,122,15,12.3
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,PHED0422,2.25,1.44,64,14,21.88
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,UIEC0101,2.02,1.12,124,17,13.71
2022.0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,UIEC0201,1.4,0.89,122,6,4.92
2022.0,CCST,Bachelor of Science in Information Technology,CSCC0103,4.0,1.73,3,2,66.67
2022.0,CCST,Bachelor of Science in Information Technology,CSCI0613,5.0,0.0,3,3,100.0
2022.0,CCST,Bachelor of Science in Information Technology,CTCC0113,2.16,0.88,156,16,10.26
2022.0,CCST,Bachelor of Science in Information Technology,CTCC0213,2.2,0.98,151,18,11.92
2022.0,CCST,Bachelor of Science in Information Technology,EEEL0413,3.0,,1,1,100.0
2022.0,CCST,Bachelor of Science in Information Technology,EEEM0412,1.75,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EEIC0413,2.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EEMP0412,1.25,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EERM0411,2.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EESD0415,2.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EESP0411,1.75,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EGEC0103,1.31,0.14,150,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EGEC0203,1.4,0.46,153,2,1.31
2022.0,CCST,Bachelor of Science in Information Technology,EGEC0303,1.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EMCC1013,5.0,,1,1,100.0
2022.0,CCST,Bachelor of Science in Information Technology,EMDA0113,1.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EMDA0213,1.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EMDA0313,2.0,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,EMDA0413,1.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,FOLA0113,2.02,0.51,115,3,2.61
2022.0,CCST,Bachelor of Science in Information Technology,GETE0413,1.25,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,HMBE0113,2.0,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,HMPE0213,1.25,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,HMPE0313,1.75,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,HTMC0613,1.5,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,HTMC0713,1.25,,1,0,0.0
2022.0,CCST,Bachelor of Science in Information Technology,ICTC0613,2.16,0.88,127,12,9.45
2022.0,CCST,Bachelor of Science in Information Technology,ICTC0713,1.73,0.86,130,7,5.38
2022.0,CCST,Bachelor of Science in Information Technology,ICTC0923,1.93,0.73,110,5,4.55
2022.0,CCST,Bachelor of Science in Information Technology,ICTC1113,3.5,2.12,2,1,50.0
2022.0,CCST,Bachelor of Science in Information Technology,ICTC1213,1.55,0.51,106,2,1.89
2022.0,CCST,Bachelor of Science in Information Technology,ICTC1413,2.28,1.22,127,19,14.96
2022.0,CCST,Bachelor of Science in Information Technology,ICTC1513,1.76,0.94,129,10,7.75
2022.0,CCST,Bachelor of Science in Information Technology,ICTC1711,1.32,0.82,73,3,4.11
2022.0,CCST,Bachelor of Science in Information Technology,ITNW0313,1.47,0.4,109,1,0.92
2022.0,CCST,Bachelor of Science in Information Technology,ITNW0413,1.68,0.63,104,2,1.92
2022.0,CCST,Bachelor of Science in Information Technology,ITNW0513,1.88,0.44,104,3,2.88
2022.0,CCST,Bachelor of Science in Information Technology,ITNW0613,1.86,0.53,108,2,1.85
2022.0,CCST,Bachelor of Science in Information Technology,ITNW0713,2.07,0.51,108,3,2.78
2022.0,CCST,Bachelor of Science in Information Technology,ITNW1313,2.13,0.76,71,5,7.04
2022.0,CCST,Bachelor of Science in Information Technology,ITNW1413,2.2,0.77,70,5,7.14
2022.0,CCST,Bachelor of Science in Information Technology,ITNW1613,1.81,0.51,61,1,1.64
2022.0,CCST,Bachelor of Science in Information Technology,MATH1913,3.0,,1,1,100.0
2022.0,CCST,Bachelor of Science in Information Technology,NGEC0203,1.73,0.64,154,2,1.3
2022.0,CCST,Bachelor of Science in Information Technology,NGEC0403,1.96,0.73,157,7,4.46
2022.0,CCST,Bachelor of Science in Information Technology,NGEC0513,1.97,0.53,126,2,1.59
2022.0,CCST,Bachelor of Science in Information Technology,NGEC0913,1.22,0.88,119,6,5.04
2022.0,CCST,Bachelor of Science in Information Technology,NSTP0113,1.82,0.71,150,6,4.0
2022.0,CCST,Bachelor of Science in Information Technology,PEDU0112,1.86,0.87,164,11,6.71
2022.0,CCST,Bachelor of Science in Information Technology,PHED0422,1.82,0.98,119,11,9.24
2022.0,CCST,Bachelor of Science in Information Technology,UIEC0101,1.84,0.94,162,15,9.26
2022.0,CCST,Bachelor of Science in Information Technology,UIEC0201,1.5,1.2,157,17,10.83
2022.0,CEA,Bachelor of Science in Architecture,ARDS0213,2.48,0.76,122,11,9.02
2022.0,CEA,Bachelor of Science in Architecture,ARDS0314,2.34,0.51,84,4,4.76
