Year_Numeric,Sem_Numeric,College,Drop_Count
2022.0,1,CAHS,5
2022.0,2,CAHS,2
2023.0,1,CAHS,24
2023.0,2,CAHS,1
2024.0,1,CAHS,11
2024.0,2,CAHS,17
2022.0,1,CBA,10
2022.0,2,CBA,1
2023.0,1,CBA,43
2023.0,2,CBA,4
2024.0,1,CBA,16
2024.0,2,CBA,4
2022.0,1,CCST,16
2022.0,2,CCST,21
2023.0,1,CCST,21
2023.0,2,CCST,16
2024.0,1,CCST,26
2024.0,2,CCST,19
2022.0,1,CEA,21
2022.0,2,CEA,13
2023.0,1,CEA,98
2023.0,2,CEA,95
2024.0,1,CEA,90
2024.0,2,CEA,156
2022.0,1,COAS,0
2022.0,2,COAS,0
2023.0,1,COAS,6
2023.0,2,COAS,3
2024.0,1,COAS,1
2024.0,2,COAS,0
2022.0,1,CTEC,37
2022.0,2,CTEC,20
2023.0,1,CTEC,108
2023.0,2,CTEC,20
2024.0,1,CTEC,57
2024.0,2,CTEC,15
