Student_ID,College,Course,Year_Numeric,Sem_Numeric,GWA
102_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,2.17
102_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,1.71
103_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,1.5
103_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,2.21
103_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,1.82
103_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,1.57
103_CCST_Bachelor_of_Science_in_Computer_Science_2sem_2022-2023,CCST,Bachelor of Science in Computer Science,2022.0,2,2.16
103_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_2sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2022.0,2,1.81
103_CCST_Bachelor_of_Science_in_Information_Technology_2sem_2022-2023,CCST,Bachelor of Science in Information Technology,2022.0,2,1.33
103_CEA_Bachelor_of_Science_in_Architecture_2sem_2022-2023,CEA,Bachelor of Science in Architecture,2022.0,2,1.82
103_CEA_Bachelor_of_Science_in_Civil_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,2022.0,2,2.54
103_CEA_Bachelor_of_Science_in_Electrical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,2022.0,2,1.89
103_CEA_Bachelor_of_Science_in_Electronics_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,2022.0,2,2.88
103_CEA_Bachelor_of_Science_in_Industrial_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,2022.0,2,1.84
103_CEA_Bachelor_of_Science_in_Mechanical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,2022.0,2,1.64
103_COAS_Bachelor_of_Arts_in_Communication_2sem_2022-2023,COAS,Bachelor of Arts in Communication,2022.0,2,1.65
103_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,3.92
103_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,1.48
104_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,1.6
104_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,1.29
104_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,1.73
104_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,1.61
104_CCST_Bachelor_of_Science_in_Computer_Science_2sem_2022-2023,CCST,Bachelor of Science in Computer Science,2022.0,2,1.44
104_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_2sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2022.0,2,4.14
104_CCST_Bachelor_of_Science_in_Information_Technology_2sem_2022-2023,CCST,Bachelor of Science in Information Technology,2022.0,2,2.58
104_CEA_Bachelor_of_Science_in_Architecture_2sem_2022-2023,CEA,Bachelor of Science in Architecture,2022.0,2,1.54
104_CEA_Bachelor_of_Science_in_Civil_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,2022.0,2,1.96
104_CEA_Bachelor_of_Science_in_Electrical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,2022.0,2,2.5
104_CEA_Bachelor_of_Science_in_Electronics_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,2022.0,2,1.88
104_CEA_Bachelor_of_Science_in_Industrial_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,2022.0,2,1.96
104_CEA_Bachelor_of_Science_in_Mechanical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,2022.0,2,2.3
104_COAS_Bachelor_of_Arts_in_Communication_2sem_2022-2023,COAS,Bachelor of Arts in Communication,2022.0,2,1.7
104_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,1.82
104_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,4.31
105_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,1.58
105_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,1.83
105_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,5.0
105_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,1.57
105_CCST_Bachelor_of_Science_in_Computer_Science_2sem_2022-2023,CCST,Bachelor of Science in Computer Science,2022.0,2,1.31
105_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_2sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2022.0,2,1.88
105_CCST_Bachelor_of_Science_in_Information_Technology_2sem_2022-2023,CCST,Bachelor of Science in Information Technology,2022.0,2,1.25
105_CEA_Bachelor_of_Science_in_Architecture_2sem_2022-2023,CEA,Bachelor of Science in Architecture,2022.0,2,3.12
105_CEA_Bachelor_of_Science_in_Civil_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,2022.0,2,2.14
105_CEA_Bachelor_of_Science_in_Electrical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,2022.0,2,2.23
105_CEA_Bachelor_of_Science_in_Electronics_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,2022.0,2,3.04
105_CEA_Bachelor_of_Science_in_Industrial_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,2022.0,2,2.4
105_CEA_Bachelor_of_Science_in_Mechanical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,2022.0,2,1.47
105_COAS_Bachelor_of_Arts_in_Communication_2sem_2022-2023,COAS,Bachelor of Arts in Communication,2022.0,2,2.56
105_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,3.9
105_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,1.59
106_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,1.68
106_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,1.47
106_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,1.25
106_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,2.22
