Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Drop_Count,Drop_Rate
2022.0,2,CBA,Bachelor of Science in Hospitality Management,1st Year,1,159,0,0.0
2023.0,1,CBA,Bachelor of Science in Hospitality Management,1st Year,1,334,3,0.9
2023.0,2,CBA,Bachelor of Science in Hospitality Management,1st Year,1,323,0,0.0
2024.0,1,CBA,Bachelor of Science in Hospitality Management,1st Year,1,271,5,1.85
2024.0,2,CBA,Bachelor of Science in Hospitality Management,1st Year,1,257,0,0.0
2022.0,1,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,134,4,2.99
2022.0,2,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,128,0,0.0
2023.0,1,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,158,1,0.63
2023.0,2,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,153,1,0.65
2024.0,1,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,316,3,0.95
2024.0,2,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,307,1,0.33
2022.0,1,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,88,2,2.27
2022.0,2,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,87,0,0.0
2023.0,1,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,126,0,0.0
2023.0,2,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,125,0,0.0
2024.0,1,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,153,0,0.0
2024.0,2,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,150,1,0.67
2022.0,1,CBA,Bachelor of Science in Hospitality Management,4th Year,4,92,0,0.0
2022.0,2,CBA,Bachelor of Science in Hospitality Management,4th Year,4,93,0,0.0
2023.0,1,CBA,Bachelor of Science in Hospitality Management,4th Year,4,89,0,0.0
2023.0,2,CBA,Bachelor of Science in Hospitality Management,4th Year,4,88,0,0.0
2024.0,1,CBA,Bachelor of Science in Hospitality Management,4th Year,4,123,1,0.81
2024.0,2,CBA,Bachelor of Science in Hospitality Management,4th Year,4,120,0,0.0
2022.0,1,CBA,Bachelor of Science in Tourism Management,Irregular,-1,7,0,0.0
2022.0,2,CBA,Bachelor of Science in Tourism Management,Irregular,-1,5,0,0.0
2023.0,1,CBA,Bachelor of Science in Tourism Management,Irregular,-1,11,2,18.18
2023.0,2,CBA,Bachelor of Science in Tourism Management,Irregular,-1,12,0,0.0
2024.0,1,CBA,Bachelor of Science in Tourism Management,Irregular,-1,12,1,8.33
2024.0,2,CBA,Bachelor of Science in Tourism Management,Irregular,-1,12,0,0.0
2022.0,1,CBA,Bachelor of Science in Tourism Management,1st Year,1,159,1,0.63
2022.0,2,CBA,Bachelor of Science in Tourism Management,1st Year,1,151,1,0.66
2023.0,1,CBA,Bachelor of Science in Tourism Management,1st Year,1,295,3,1.02
2023.0,2,CBA,Bachelor of Science in Tourism Management,1st Year,1,280,0,0.0
2024.0,1,CBA,Bachelor of Science in Tourism Management,1st Year,1,239,2,0.84
2024.0,2,CBA,Bachelor of Science in Tourism Management,1st Year,1,232,0,0.0
2022.0,1,CBA,Bachelor of Science in Tourism Management,2nd Year,2,130,3,2.31
2022.0,2,CBA,Bachelor of Science in Tourism Management,2nd Year,2,126,0,0.0
2023.0,1,CBA,Bachelor of Science in Tourism Management,2nd Year,2,155,6,3.87
2023.0,2,CBA,Bachelor of Science in Tourism Management,2nd Year,2,150,2,1.33
2024.0,1,CBA,Bachelor of Science in Tourism Management,2nd Year,2,276,3,1.09
2024.0,2,CBA,Bachelor of Science in Tourism Management,2nd Year,2,269,1,0.37
2022.0,1,CBA,Bachelor of Science in Tourism Management,3rd Year,3,131,0,0.0
2022.0,2,CBA,Bachelor of Science in Tourism Management,3rd Year,3,133,0,0.0
2023.0,1,CBA,Bachelor of Science in Tourism Management,3rd Year,3,123,3,2.44
2023.0,2,CBA,Bachelor of Science in Tourism Management,3rd Year,3,123,0,0.0
2024.0,1,CBA,Bachelor of Science in Tourism Management,3rd Year,3,145,0,0.0
2024.0,2,CBA,Bachelor of Science in Tourism Management,3rd Year,3,145,0,0.0
2022.0,1,CBA,Bachelor of Science in Tourism Management,4th Year,4,128,0,0.0
2022.0,2,CBA,Bachelor of Science in Tourism Management,4th Year,4,128,0,0.0
2023.0,1,CBA,Bachelor of Science in Tourism Management,4th Year,4,135,2,1.48
2023.0,2,CBA,Bachelor of Science in Tourism Management,4th Year,4,134,0,0.0
2024.0,1,CBA,Bachelor of Science in Tourism Management,4th Year,4,125,0,0.0
2024.0,2,CBA,Bachelor of Science in Tourism Management,4th Year,4,125,1,0.8
2022.0,1,CCST,Bachelor of Science in Computer Science,Irregular,-1,7,0,0.0
2022.0,2,CCST,Bachelor of Science in Computer Science,Irregular,-1,7,0,0.0
2023.0,1,CCST,Bachelor of Science in Computer Science,Irregular,-1,11,0,0.0
2023.0,2,CCST,Bachelor of Science in Computer Science,Irregular,-1,10,0,0.0
2024.0,1,CCST,Bachelor of Science in Computer Science,Irregular,-1,26,0,0.0
2024.0,2,CCST,Bachelor of Science in Computer Science,Irregular,-1,22,0,0.0
2022.0,1,CCST,Bachelor of Science in Computer Science,1st Year,1,103,6,5.83
2022.0,2,CCST,Bachelor of Science in Computer Science,1st Year,1,95,1,1.05
2023.0,1,CCST,Bachelor of Science in Computer Science,1st Year,1,186,0,0.0
2023.0,2,CCST,Bachelor of Science in Computer Science,1st Year,1,176,1,0.57
2024.0,1,CCST,Bachelor of Science in Computer Science,1st Year,1,202,5,2.48
2024.0,2,CCST,Bachelor of Science in Computer Science,1st Year,1,182,0,0.0
2022.0,1,CCST,Bachelor of Science in Computer Science,2nd Year,2,71,0,0.0
2022.0,2,CCST,Bachelor of Science in Computer Science,2nd Year,2,70,0,0.0
2023.0,1,CCST,Bachelor of Science in Computer Science,2nd Year,2,96,1,1.04
2023.0,2,CCST,Bachelor of Science in Computer Science,2nd Year,2,94,3,3.19
2024.0,1,CCST,Bachelor of Science in Computer Science,2nd Year,2,160,2,1.25
2024.0,2,CCST,Bachelor of Science in Computer Science,2nd Year,2,155,4,2.58
2022.0,1,CCST,Bachelor of Science in Computer Science,3rd Year,3,131,2,1.53
2022.0,2,CCST,Bachelor of Science in Computer Science,3rd Year,3,133,2,1.5
2023.0,1,CCST,Bachelor of Science in Computer Science,3rd Year,3,69,0,0.0
2023.0,2,CCST,Bachelor of Science in Computer Science,3rd Year,3,68,0,0.0
2024.0,1,CCST,Bachelor of Science in Computer Science,3rd Year,3,88,1,1.14
2024.0,2,CCST,Bachelor of Science in Computer Science,3rd Year,3,83,0,0.0
2022.0,1,CCST,Bachelor of Science in Computer Science,4th Year,4,59,1,1.69
2022.0,2,CCST,Bachelor of Science in Computer Science,4th Year,4,59,0,0.0
