Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Irregular_Count,Drop_Count,INC_Count,Irregular_Rate,Drop_Rate,INC_Rate
2024.0,2,CEA,Bachelor of Science in Architecture,4th Year,4,109,49,20,31,44.95,18.35,28.44
2022.0,1,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,90,32,0,32,35.56,0.0,35.56
2022.0,2,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,85,27,0,27,31.76,0.0,31.76
2023.0,1,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,88,14,3,12,15.91,3.41,13.64
2023.0,2,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,20,6,1,5,30.0,5.0,25.0
2024.0,1,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,78,14,5,11,17.95,6.41,14.1
2024.0,2,CEA,Bachelor of Science in Civil Engineering,Irregular,-1,57,26,1,26,45.61,1.75,45.61
2022.0,1,CEA,Bachelor of Science in Civil Engineering,1st Year,1,217,20,2,20,9.22,0.92,9.22
2022.0,2,CEA,Bachelor of Science in Civil Engineering,1st Year,1,214,73,0,73,34.11,0.0,34.11
2023.0,1,CEA,Bachelor of Science in Civil Engineering,1st Year,1,275,37,2,35,13.45,0.73,12.73
2023.0,2,CEA,Bachelor of Science in Civil Engineering,1st Year,1,268,61,4,60,22.76,1.49,22.39
2024.0,1,CEA,Bachelor of Science in Civil Engineering,1st Year,1,165,14,0,14,8.48,0.0,8.48
2024.0,2,CEA,Bachelor of Science in Civil Engineering,1st Year,1,162,15,1,15,9.26,0.62,9.26
2022.0,1,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,204,105,1,105,51.47,0.49,51.47
2022.0,2,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,199,57,0,57,28.64,0.0,28.64
2023.0,1,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,208,113,7,111,54.33,3.37,53.37
2023.0,2,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,180,46,10,40,25.56,5.56,22.22
2024.0,1,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,282,153,6,149,54.26,2.13,52.84
2024.0,2,CEA,Bachelor of Science in Civil Engineering,2nd Year,2,273,95,10,91,34.8,3.66,33.33
2022.0,1,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,173,78,2,78,45.09,1.16,45.09
2022.0,2,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,166,98,1,98,59.04,0.6,59.04
2023.0,1,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,190,37,2,36,19.47,1.05,18.95
2023.0,2,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,185,76,11,74,41.08,5.95,40.0
2024.0,1,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,157,42,9,35,26.75,5.73,22.29
2024.0,2,CEA,Bachelor of Science in Civil Engineering,3rd Year,3,155,37,2,36,23.87,1.29,23.23
2022.0,1,CEA,Bachelor of Science in Civil Engineering,4th Year,4,166,40,1,40,24.1,0.6,24.1
2022.0,2,CEA,Bachelor of Science in Civil Engineering,4th Year,4,168,26,0,26,15.48,0.0,15.48
2023.0,1,CEA,Bachelor of Science in Civil Engineering,4th Year,4,147,39,17,27,26.53,11.56,18.37
2023.0,2,CEA,Bachelor of Science in Civil Engineering,4th Year,4,146,26,7,22,17.81,4.79,15.07
2024.0,1,CEA,Bachelor of Science in Civil Engineering,4th Year,4,173,41,24,27,23.7,13.87,15.61
2024.0,2,CEA,Bachelor of Science in Civil Engineering,4th Year,4,170,32,5,31,18.82,2.94,18.24
2023.0,1,CEA,Bachelor of Science in Computer Engineering,1st Year,1,33,11,1,10,33.33,3.03,30.3
2023.0,2,CEA,Bachelor of Science in Computer Engineering,1st Year,1,33,7,4,3,21.21,12.12,9.09
2024.0,1,CEA,Bachelor of Science in Computer Engineering,1st Year,1,37,6,0,6,16.22,0.0,16.22
2024.0,2,CEA,Bachelor of Science in Computer Engineering,1st Year,1,34,6,0,6,17.65,0.0,17.65
2023.0,1,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,2,0,0,0,0.0,0.0,0.0
2023.0,2,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,2,0,0,0,0.0,0.0,0.0
2024.0,1,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,27,0,0,0,0.0,0.0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,2nd Year,2,27,7,5,2,25.93,18.52,7.41
2023.0,1,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,1,0,0,0,0.0,0.0,0.0
2023.0,2,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,1,0,0,0,0.0,0.0,0.0
2024.0,1,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,2,0,0,0,0.0,0.0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,3rd Year,3,2,0,0,0,0.0,0.0,0.0
2024.0,1,CEA,Bachelor of Science in Computer Engineering,4th Year,4,1,0,0,0,0.0,0.0,0.0
2024.0,2,CEA,Bachelor of Science in Computer Engineering,4th Year,4,1,0,0,0,0.0,0.0,0.0
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,56,11,0,11,19.64,0.0,19.64
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,54,25,0,25,46.3,0.0,46.3
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,79,30,21,11,37.97,26.58,13.92
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,53,26,3,25,49.06,5.66,47.17
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,60,11,1,10,18.33,1.67,16.67
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,Irregular,-1,40,14,1,14,35.0,2.5,35.0
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,131,9,0,9,6.87,0.0,6.87
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,138,22,8,22,15.94,5.8,15.94
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,137,9,2,7,6.57,1.46,5.11
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,133,49,3,48,36.84,2.26,36.09
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,142,17,2,16,11.97,1.41,11.27
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,1st Year,1,139,47,9,41,33.81,6.47,29.5
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,133,7,0,7,5.26,0.0,5.26
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,133,70,0,70,52.63,0.0,52.63
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,134,37,4,34,27.61,2.99,25.37
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,131,73,3,72,55.73,2.29,54.96
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,126,64,0,64,50.79,0.0,50.79
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,2nd Year,2,119,61,12,60,51.26,10.08,50.42
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,119,37,0,37,31.09,0.0,31.09
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,114,69,0,69,60.53,0.0,60.53
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,115,35,0,35,30.43,0.0,30.43
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,114,56,1,56,49.12,0.88,49.12
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,106,50,1,50,47.17,0.94,47.17
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,3rd Year,3,99,32,2,31,32.32,2.02,31.31
2022.0,1,CEA,Bachelor of Science in Electrical Engineering,4th Year,4,111,7,1,7,6.31,0.9,6.31
2022.0,2,CEA,Bachelor of Science in Electrical Engineering,4th Year,4,112,46,1,46,41.07,0.89,41.07
2023.0,1,CEA,Bachelor of Science in Electrical Engineering,4th Year,4,111,7,0,7,6.31,0.0,6.31
2023.0,2,CEA,Bachelor of Science in Electrical Engineering,4th Year,4,110,48,5,47,43.64,4.55,42.73
2024.0,1,CEA,Bachelor of Science in Electrical Engineering,4th Year,4,112,14,0,14,12.5,0.0,12.5
2024.0,2,CEA,Bachelor of Science in Electrical Engineering,4th Year,4,111,55,26,46,49.55,23.42,41.44
2022.0,1,CEA,Bachelor of Science in Electronics Engineering,Irregular,-1,8,3,0,3,37.5,0.0,37.5
2022.0,2,CEA,Bachelor of Science in Electronics Engineering,Irregular,-1,10,3,0,3,30.0,0.0,30.0
2023.0,1,CEA,Bachelor of Science in Electronics Engineering,Irregular,-1,9,2,0,2,22.22,0.0,22.22
2023.0,2,CEA,Bachelor of Science in Electronics Engineering,Irregular,-1,9,2,0,2,22.22,0.0,22.22
2024.0,1,CEA,Bachelor of Science in Electronics Engineering,Irregular,-1,17,6,0,6,35.29,0.0,35.29
2024.0,2,CEA,Bachelor of Science in Electronics Engineering,Irregular,-1,11,4,0,4,36.36,0.0,36.36
2022.0,1,CEA,Bachelor of Science in Electronics Engineering,1st Year,1,76,31,0,31,40.79,0.0,40.79
2022.0,2,CEA,Bachelor of Science in Electronics Engineering,1st Year,1,77,3,0,3,3.9,0.0,3.9
2023.0,1,CEA,Bachelor of Science in Electronics Engineering,1st Year,1,73,8,1,7,10.96,1.37,9.59
2023.0,2,CEA,Bachelor of Science in Electronics Engineering,1st Year,1,73,31,5,28,42.47,6.85,38.36
2024.0,1,CEA,Bachelor of Science in Electronics Engineering,1st Year,1,66,2,0,2,3.03,0.0,3.03
2024.0,2,CEA,Bachelor of Science in Electronics Engineering,1st Year,1,65,5,0,5,7.69,0.0,7.69
2022.0,1,CEA,Bachelor of Science in Electronics Engineering,2nd Year,2,55,5,1,5,9.09,1.82,9.09
